p,q,rho,CVaR,CVaR.se
0.47000000000000003,-0.029944661907857655,-0.5,-0.7584501940614106,0.0036791690162160154
0.47000000000000003,-0.022186891924229183,0,-0.6185932480197567,0.003127888415828318
0.47000000000000003,-0.012218055746599102,0.5,-0.4372507736219442,0.0026051813979627264
0.47000000000000003,8.063987597664662e-4,0.9,-0.20070980570091587,0.0032396193945440125
0.47000000000000003,0.0038312124645373292,0.95,-0.14781145299877652,0.0040195007685524696
0.47000000000000003,0.010886687113910491,1,-0.05648641856759505,0.010088102511955487
0.48000000000000004,-0.019821718183889,-1,-0.8589543376852428,0.004098841824451194
0.48000000000000004,-0.015487537195433866,-0.5,-0.743152504418078,0.0036054311951207564
0.48000000000000004,-0.01034097769496075,0,-0.6060781765778331,0.00306611422514057
0.48000000000000004,-0.0036691793222676664,0.5,-0.42834755480097914,0.002556706928410603
0.48000000000000004,0.005079694530710779,0.9,-0.1965378736803174,0.003187478061462981
0.48000000000000004,0.0071260172108360605,0.95,-0.14470665919356243,0.003955654601166406
0.48000000000000004,0.012644383291490155,1,-0.05618566842406918,0.009926924647115228
0.49,-0.0032639753254339026,-1,-0.8416869498781312,0.004016339179560028
0.49,-0.0010588536054161126,-0.5,-0.7281832346516045,0.0035332625420889424
0.49,0.0014869781576770664,0,-0.5938300879093202,0.003005554202059958
0.49,0.004844369663067383,0.5,-0.4196308438621541,0.0025088019694554553
0.49,0.009335043833885594,0.9,-0.1924446215703443,0.0031351058819654664
0.49,0.010487313619258178,0.95,-0.14165743273779294,0.003891220656729917
0.49,0.014395985554652973,1,-0.05697276439301288,0.00976768048193455
0.5,0.01329788549488941,-1,-0.8247773870725535,0.003935601541686793
0.5,0.01329788549488941,-0.5,-0.7135230546414061,0.0034624931962163757
0.5,0.01329788549488941,0,-0.5818332404936603,0.0029461203639892797
0.5,0.013347577730151921,0.5,-0.41108962592506754,0.0024614395024178514
0.5,0.013588788907046883,0.9,-0.1884253290822083,0.0030824545134665697
0.5,0.013799288593572701,0.95,-0.13865789053437505,0.003826886838255971
0.5,0.01613376589024988,1,-0.056075930252695944,0.009614235402999462
0.51,0.029862685179560797,-1,-0.8082046665039451,0.0038565007699403312
0.51,0.02768828526496201,-0.5,-0.6991538727184513,0.0033931603962676265
0.51,0.02514245350186884,0,-0.570072874479345,0.002887788521276994
0.51,0.021884479847205866,0.5,-0.4027135558989094,0.0024145864793807172
0.51,0.017845668255664762,0.9,-0.18447541722062408,0.0030295156752146403
0.51,0.01713352636409496,0.95,-0.13570600734234986,0.003762199317876911
0.51,0.01750495821258935,1,-0.05558289886221922,0.009461716089587928
0.52,0.046391470906950796,-1,-0.791946729346104,0.003778889114301358
0.52,0.04210704899440386,-0.5,-0.6850585808271172,0.003325151872551888
0.52,0.03696048949393061,0,-0.55853503052262,0.002830413627625304
0.52,0.030418962073213887,0.5,-0.3944927819935281,0.002368198716150582
0.52,0.02209165387632462,0.9,-0.1805904579154087,0.002976394188577603
0.52,0.02043614405212838,0.95,-0.1327978232822006,0.0036975891104445236
0.52,0.019251958959929337,1,-0.05342794889804501,0.009314236840103183
0.53,0.06301391170438322,-1,-0.7759903279569704,0.00370277625283695
0.53,0.05649216529889009,-0.5,-0.6712192528061267,0.003258313523559905
0.53,0.04883408117243154,0,-0.5472044576534281,0.002774024495968835
0.53,0.03896493085197086,0.5,-0.3864180948158673,0.0023222502618558687
0.53,0.02639355703693593,0.9,-0.17676675766553562,0.0029226978483159155
0.53,0.023760214775567223,0.95,-0.12993115890727872,0.0036326502092631306
0.53,0.02099638203306446,1,-0.05129969181621013,0.009165901788595904
0.54,0.0797230543174107,-1,-0.7603146500983247,0.003628061422872631
0.54,0.0710195350789018,-0.5,-0.6576248754331684,0.0031927269635058
0.54,0.06073462999394831,0,-0.5360735669828757,0.0027184932397453466
0.54,0.047498590940039984,0.5,-0.3784786209134084,0.002276739318362082
0.54,0.030645627217584206,0.9,-0.17299991612934146,0.002869127570090609
0.54,0.027109540966278,0.95,-0.12710317226317655,0.0035673326065204605
0.54,0.022676942929782305,1,-0.05039143074119109,0.009018753369473198
0.55,0.09650087924838328,-1,-0.7449029331797022,0.00355462171575917
0.55,0.08559781144078558,-0.5,-0.6442584524391288,0.0031282156280089185
0.55,0.07271492940777949,0,-0.5251278225421804,0.0026638182481155564
0.55,0.05610384492670057,0.5,-0.37067085469696753,0.0022315945865679604
0.55,0.034946392520387996,0.9,-0.16928676816645946,0.002815064076688767
0.55,0.030469279795676783,0.95,-0.12431105163466512,0.0035017811492601345
