CVaR,CVaR.se,p,q,b,Type
-0.05764978306177108,0.01750120499509287,0.29000000000000004,-0.1709767799383458,0.2,Thm. 3.2
-0.07180556824838524,0.017509557880985033,0.29000000000000004,-0.2209767799383458,0.25,Thm. 3.2
-0.02877996169906891,0.0160881903440124,0.3,-0.030240901696078404,0.05,Thm. 3.2
-0.024894617383001798,0.017155812959461066,0.3,-0.06809830661637412,0.1,Thm. 3.2
-0.039313260485613274,0.017131378962594403,0.3,-0.11774616842516353,0.15,Thm. 3.2
-0.05528404916100288,0.017117460961905598,0.3,-0.16774616842516352,0.2,Thm. 3.2
-0.06854283516843847,0.01712491180335637,0.3,-0.2177461684251635,0.25,Thm. 3.2
-0.028660833190819683,0.01573475958940017,0.31,-0.027790904881468,0.05,Thm. 3.2
-0.024239934204179463,0.016753196781528083,0.31,-0.065142494616041,0.1,Thm. 3.2
-0.037771932330974804,0.0167284471977371,0.31,-0.11473781897160962,0.15,Thm. 3.2
-0.05260119988193406,0.01671328012430084,0.31,-0.1647378189716096,0.2,Thm. 3.2
-0.06509514029768582,0.016718451260632698,0.31,-0.2147378189716096,0.25,Thm. 3.2
-0.028469184816523004,0.015317388638905199,0.32,-0.0255089335182368,0.05,Thm. 3.2
-0.02347804514617583,0.01634317478111892,0.32,-0.061947165346223604,0.1,Thm. 3.2
-0.03606430589522153,0.016325598773054777,0.32,-0.11146538167397652,0.15,Thm. 3.2
-0.050217053586627605,0.01630998958724633,0.32,-0.1614653816739765,0.2,Thm. 3.2
-0.06168140903297643,0.01631373948108885,0.32,-0.2114653816739765,0.25,Thm. 3.2
-0.02808584763445647,0.014944193233059488,0.33,-0.023119007132307093,0.05,Thm. 3.2
-0.022762106549928544,0.01589327107322531,0.33,-0.058860570845474004,0.1,Thm. 3.2
-0.03443280886860884,0.015907013715608043,0.33,-0.10831207483917552,0.15,Thm. 3.2
-0.04754553021727276,0.015889684649300462,0.33,-0.1583120748391755,0.2,Thm. 3.2
-0.058611615797540824,0.01589089578477886,0.33,-0.2083120748391755,0.25,Thm. 3.2
-0.02781045990445537,0.014576870515941656,0.34,-0.020741025795010692,0.05,Thm. 3.2
-0.022095554380840786,0.01550593621223568,0.34,-0.05582240248899901,0.1,Thm. 3.2
-0.03283468748649041,0.015483585990787786,0.34,-0.10512679569260562,0.15,Thm. 3.2
-0.0451209785043802,0.01546545899753525,0.34,-0.15512679569260562,0.2,Thm. 3.2
-0.05520483349561363,0.015465051919476756,0.34,-0.2051267956926056,0.25,Thm. 3.2
-0.027644295786976372,0.01427376410068805,0.35000000000000003,-0.018525239226955502,0.05,Thm. 3.2
-0.02143030431524249,0.015109245254170539,0.35000000000000003,-0.052565598647567505,0.1,Thm. 3.2
-0.031079313536290593,0.015117540903063872,0.35000000000000003,-0.10178651251733642,0.15,Thm. 3.2
-0.04245401589095764,0.015098531999318068,0.35000000000000003,-0.1517865125173364,0.2,Thm. 3.2
-0.051822572526399296,0.015096324326600548,0.35000000000000003,-0.2017865125173364,0.25,Thm. 3.2
-0.027535296663818883,0.013900393092081341,0.36000000000000004,-0.016405875462860597,0.05,Thm. 3.2
-0.020866191719971047,0.014672631929601962,0.36000000000000004,-0.04926299212996821,0.1,Thm. 3.2
-0.02931007956140863,0.014695112665544074,0.36000000000000004,-0.09826029356215901,0.15,Thm. 3.2
-0.0397963180371356,0.014675669728344859,0.36000000000000004,-0.148260293562159,0.2,Thm. 3.2
-0.04847226048765998,0.014672281373872947,0.36000000000000004,-0.198260293562159,0.25,Thm. 3.2
-0.027373878077498158,0.013544377846741385,0.37,-0.014152165692658904,0.05,Thm. 3.2
-0.020139845390673535,0.014255377843397999,0.37,-0.045948291345686704,0.1,Thm. 3.2
-0.02753654272780879,0.014273179364487918,0.37,-0.09444433383460232,0.15,Thm. 3.2
-0.03741831742589845,0.014253389478415859,0.37,-0.1444443338346023,0.2,Thm. 3.2
-0.045484188093165956,0.014248834625136077,0.37,-0.1944443338346023,0.25,Thm. 3.2
-0.027192659771269813,0.013220548883163553,0.38,-0.0120377006218872,0.05,Thm. 3.2
-0.019102822611715062,0.013847895071660482,0.38,-0.042470074333521804,0.1,Thm. 3.2
-0.025871660898122036,0.013857080461390031,0.38,-0.09067556890346101,0.15,Thm. 3.2
-0.03476650622975516,0.013837145349624663,0.38,-0.140675568903461,0.2,Thm. 3.2
-0.04217513653607146,0.013831668137062231,0.38,-0.190675568903461,0.25,Thm. 3.2
-0.026951241644543787,0.01287857459116807,0.39,-0.010012745687173696,0.05,Thm. 3.2
-0.018086888316980423,0.013487333102246408,0.39,-0.038800925269588706,0.1,Thm. 3.2
-0.024022593685270054,0.013493831740889669,0.39,-0.08696355464383812,0.15,Thm. 3.2
-0.032350074018824726,0.013473915484759123,0.39,-0.1369635546438381,0.2,Thm. 3.2
-0.03884905256836506,0.013467665515141414,0.39,-0.1869635546438381,0.25,Thm. 3.2
-0.02680063313749607,0.012539923347671,0.4,-0.007680508330534505,0.05,Thm. 3.2
-0.017085485543766068,0.013121051333781771,0.4,-0.03536152815755801,0.1,Thm. 3.2
-0.022178080384841682,0.01316360942913385,0.4,-0.08280882923255073,0.15,Thm. 3.2
