CVaR,CVaR.se,p,q,rho,type,Type,Correlation
-0.218179575754549,0.001297869912720888,0.77,0.2861771079459997,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.0953957901126115,0.0015357775891071336,0.77,0.14670494909107695,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.06789733434192947,0.0019582559461734403,0.77,0.11616982081071325,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.019402533094140452,0.0058084275281193665,0.77,0.061356095217822114,1,Thm. 3.4 bound,Thm. 3.4,1
-0.4324085062962792,0.0020764218426535556,0.78,0.5771852929516919,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3730737435568876,0.0018248688761567924,0.78,0.502722491201619,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.3028004380652049,0.001545343766205018,0.78,0.4146735200040641,0,Thm. 3.4 bound,Thm. 3.4,0
-0.21157393845005837,0.0012572859582880914,0.78,0.30073452837533915,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.09215807296381312,0.0014729412213117742,0.78,0.15354002025550756,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.06539540048565566,0.0018805536536260724,0.78,0.12126940247480553,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.018928457604524065,0.00569757858370624,0.78,0.063040016367232235,1,Thm. 3.4 bound,Thm. 3.4,1
-0.4194151937011579,0.0020156328428267206,0.79,0.6074972720275968,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3617953999702688,0.0017713423174816937,0.79,0.5290165710613239,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.29354981952359,0.0014994506254017632,0.79,0.4361662148700388,0,Thm. 3.4 bound,Thm. 3.4,0
-0.20494498733905464,0.0012168891866651175,0.79,0.31599570065421395,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.08890979577526606,0.001410258834213698,0.79,0.16063251400385337,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.06288363581590264,0.0018020766625551092,0.79,0.1265692642065356,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.017350573792733973,0.005523880122449292,0.79,0.0650545198931647,1,Thm. 3.4 bound,Thm. 3.4,1
-0.4063567593950887,0.0019546443353083997,0.8,0.6394559400871995,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3504608440547979,0.0017176774580922743,0.8,0.5567117162218385,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.2842535252721332,0.0014535276732173127,0.8,0.4588177950401465,0,Thm. 3.4 bound,Thm. 3.4,0
-0.1982840546091704,0.0011766547558195483,0.8,0.33209006479898806,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.08564603331999313,0.001346960380411134,0.8,0.16811649056221384,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.060358877972631224,0.0017223760947257672,0.8,0.13212744515702168,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.01722096568106254,0.005346782115383655,0.8,0.0671862261635102,1,Thm. 3.4 bound,Thm. 3.4,1
-0.3932123973063594,0.0018933964297314172,0.81,0.6733441031430267,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3390520495039785,0.001663830296179581,0.81,0.5860740261960538,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.2748969613200893,0.001407539597243245,0.81,0.48279848576101303,0,Thm. 3.4 bound,Thm. 3.4,0
-0.19158102115126208,0.0011366006572552986,0.81,0.34912296962970335,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.0823634892234444,0.0012837064528225203,0.81,0.17597077853818066,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.05781888427907213,0.0016418790938786032,0.81,0.13794675296602477,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.01624708948243974,0.005178796741750621,0.81,0.06935340001779544,1,Thm. 3.4 bound,Thm. 3.4,1
-0.37996171932040285,0.001831781279811172,0.8200000000000001,0.7092867655201996,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3275514482997831,0.001609717039262574,0.8200000000000001,0.6171948521635239,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.2654657243258152,0.0013614488454175345,0.8200000000000001,0.5082804784574741,0,Thm. 3.4 bound,Thm. 3.4,0
-0.1848260292738794,0.0010967813206200063,0.8200000000000001,0.3671692341073541,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.07905732883068407,0.0012202060319612574,0.8200000000000001,0.18429914435049105,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.05526057430590592,0.0015604363742867961,0.8200000000000001,0.14407844896377073,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.013288435289566924,0.005006419462227864,0.8200000000000001,0.07176954451198173,1,Thm. 3.4 bound,Thm. 3.4,1
-0.36658151454750093,0.0017697312782629425,0.8300000000000001,0.7476796791656681,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3159388864012157,0.0015552916907191924,0.8300000000000001,0.6504706005710245,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.25594362044082264,0.0013152147184119542,0.8300000000000001,0.5354465401091133,0,Thm. 3.4 bound,Thm. 3.4,0
-0.178007571154621,0.0010571702192417771,0.8300000000000001,0.38643298839018975,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.07572392378902365,0.0011571925112146757,0.8300000000000001,0.1930866885391586,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.05268107457428733,0.0014782441149008845,0.8300000000000001,0.15055817811342287,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.011547854120948314,0.004891381741298689,0.8300000000000001,0.07400151670431543,1,Thm. 3.4 bound,Thm. 3.4,1
-0.35304539306509986,0.0017071560727081375,0.8400000000000001,0.788928817528738,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3041916338716366,0.0015004728517662355,0.8400000000000001,0.6861732775327705,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.24631198781794802,0.0012687945452249181,0.8400000000000001,0.5646301153200525,0,Thm. 3.4 bound,Thm. 3.4,0
-0.17111276775753115,0.001017796119342926,0.8400000000000001,0.407079821895921,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.07235657468173609,0.0010940631069811034,0.8400000000000001,0.2025176896475827,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.05007697644048523,0.0013954518185821656,0.8400000000000001,0.15743642982996953,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.009035519243665857,0.0047337672731238905,0.8400000000000001,0.0763682383268038,1,Thm. 3.4 bound,Thm. 3.4,1
-0.3393234853618857,0.001643931710503945,0.85,0.8333802541902029,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.29228377857610377,0.001445179924446099,0.85,0.7246981221500396,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.2365498463640167,0.0012221397831009245,0.85,0.5960845800109396,0,Thm. 3.4 bound,Thm. 3.4,0
-0.16412682215746227,9.78661842841001e-4,0.85,0.4293592289128431,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.06895002872599637,0.001031502469128109,0.85,0.21262332101022796,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.04744390454984082,0.001311919609966145,0.85,0.16480450716563788,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
